Port,TCP,UDP,SCTP,DCCP,Description,type
0,Reserved,Reserved,,,"In programming APIs (not in communication between hosts), requests a system-allocated (dynamic) port[6]",well_known
1,Yes,Assigned,,,"TCP Port Service Multiplexer (TCPMUX). Historic. Both TCP and UDP have been assigned to TCPMUX by IANA,[2] but by design only TCP is specified.[7]",well_known
2,Assigned,Assigned,,,compressnet (Management Utility)[3],well_known
3,Assigned,Assigned,,,compressnet (Compression Process)[3],well_known
5,Assigned,Assigned,,,"Remote Job Entry[8] was historically using socket 5 in its old socket form, while MIB PIM has identified it as TCP/5[9] and IANA has assigned both TCP and UDP 5 to it.",well_known
7,Yes,Yes,,,Echo Protocol[10][11],well_known
9,Yes,Yes,Yes[12],Assigned,Discard Protocol[13],well_known
11,Yes,Yes,,,Active Users (systat service)[15][16],well_known
13,Yes,Yes,,,Daytime Protocol[17],well_known
15,Unofficial,No,,,Previously netstat service[2][15],well_known
17,Yes,Yes,,,Quote of the Day (QOTD)[18],well_known
18,Yes,Yes,,,Message Send Protocol[19][20],well_known
19,Yes,Yes,,,Character Generator Protocol (CHARGEN)[21],well_known
20,Yes,Assigned,Yes[12],,File Transfer Protocol (FTP) data transfer[11],well_known
21,Yes,Assigned,Yes[12],,File Transfer Protocol (FTP) control (command)[11][12][22][23],well_known
22,Yes,Assigned,Yes[12],,"Secure Shell (SSH),[11] secure logins, file transfers (scp, sftp) and port forwarding",well_known
23,Yes,Assigned,,,Telnet protocol—unencrypted text communications[11][24],well_known
25,Yes,Assigned,,,"Simple Mail Transfer Protocol (SMTP),[11][25] used for email routing between mail servers",well_known
27,Assigned,Assigned,,,nsw-fe (NSW User System FE)[3],well_known
28,Unofficial,,,,Palo Alto Networks' Panorama High Availability (HA) sync encrypted port.[26],well_known
29,Assigned,Assigned,,,msg-icp (MSG ICP)[3],well_known
31,Assigned,Assigned,,,msg-auth (MSG Authentication)[3],well_known
33,Assigned,Assigned,,,dsp (Display Support Protocol)[3],well_known
37,Yes,Yes,,,Time Protocol[27],well_known
38,Assigned,Assigned,,,rap (Route Access Protocol)[3],well_known
39,Assigned,Assigned,,,rlp (Resource Location Protocol)[3],well_known
41,Assigned,Assigned,,,graphics (Graphics)[3],well_known
42,Assigned,Yes,,,Host Name Server Protocol[28],well_known
43,Yes,Assigned,,,WHOIS protocol[29][30][31],well_known
44,Assigned,Assigned,,,mpm-flags	(MPM FLAGS Protocol)[3],well_known
45,Assigned,Assigned,,,mpm (Message Processing Module [recv])[3],well_known
46,Assigned,Assigned,,,mpm-snd (MPM [default send])[3],well_known
47,Reserved,Reserved,,,,well_known
48,Assigned,Assigned,,,auditd (Digital Audit Daemon)[3],well_known
49,Yes,Yes,,,"TACACS Login Host protocol.[32] TACACS+, still in draft which is an improved but distinct version of TACACS, only uses TCP 49.[33]",well_known
50,Assigned,Assigned,,,re-mail-ck (Remote Mail Checking Protocol)[3],well_known
51,Reserved,Reserved,,,"Historically used for Interface Message Processor logical address management,[34] entry has been removed by IANA on 2013-05-25",well_known
52,Assigned,Assigned,,,"Xerox Network Systems (XNS) Time Protocol. Despite this port being assigned by IANA, the service is meant to work on SPP (ancestor of IPX/SPX), instead of TCP/IP.[35]",well_known
53,Yes,Yes,,,Domain Name System (DNS)[36][11],well_known
54,Assigned,Assigned,,,"Xerox Network Systems (XNS) Clearinghouse (Name Server). Despite this port being assigned by IANA, the service is meant to work on SPP (ancestor of IPX/SPX), instead of TCP/IP.[35]",well_known
55,Assigned,Assigned,,,isi-gl (ISI Graphics Language)[3],well_known
56,Assigned,Assigned,,,"Xerox Network Systems (XNS) Authentication Protocol. Despite this port being assigned by IANA, the service is meant to work on SPP (ancestor of IPX/SPX), instead of TCP/IP.[35]",well_known
58,Assigned,Assigned,,,"Xerox Network Systems (XNS) Mail. Despite this port being assigned by IANA, the service is meant to work on SPP (ancestor of IPX/SPX), instead of TCP/IP.[35]",well_known
61,Reserved,Reserved,,,"Historically assigned to the NIFTP-Based Mail protocol,[37] but was never documented in the related IEN.[38] The port number entry was removed from IANA's registry on 2017-05-18.[2]",well_known
62,Assigned,Assigned,,,acas (ACA Services)[3],well_known
63,Assigned,Assigned,,,whoispp (whois++)[3],well_known
64,Assigned,Assigned,,,covia (Communications Integrator (CI))[3],well_known
65,Assigned,Assigned,,,tacacs-ds (TACACS-Database Service)[3],well_known
66,Assigned,Assigned,,,sql-net (Oracle SQL*NET)[3],well_known
67,Assigned,Yes,,,Bootstrap Protocol (BOOTP) server;[11] also used by Dynamic Host Configuration Protocol (DHCP),well_known
68,Assigned,Yes,,,Bootstrap Protocol (BOOTP) client;[11] also used by Dynamic Host Configuration Protocol (DHCP),well_known
69,Assigned,Yes,,,Trivial File Transfer Protocol (TFTP)[11][39][40][41],well_known
70,Yes,Assigned,,,Gopher protocol[42],well_known
71,Yes,Yes,,,NETRJS protocol[43][44][45],well_known
72,Yes,Yes,,,NETRJS protocol[43][44][45],well_known
73,Yes,Yes,,,NETRJS protocol[43][44][45],well_known
74,Yes,Yes,,,NETRJS protocol[43][44][45],well_known
76,Assigned,Assigned,,,deos (Distributed External Object Store)[3],well_known
